checkpoint,fl_acc_macro,cl_acc_macro,fl_prec_macro,cl_prec_macro,fl_rec_macro,cl_rec_macro,fl_f1_macro,cl_f1_macro,fl_acc_micro,cl_acc_micro,fl_prec_micro,cl_prec_micro,fl_rec_micro,cl_rec_micro,fl_f1_micro,cl_f1_micro,fl_rec_at_8,cl_rec_at_8,fl_prec_at_8,cl_prec_at_8,fl_f1_at_8,cl_f1_at_8,fl_auc_macro,cl_auc_macro,fl_auc_micro,cl_auc_micro,fl_pr_auc_macro,cl_pr_auc_macro,fl_pr_auc_micro,cl_pr_auc_micro,fl_best_f1_micro,cl_best_f1_micro,fl_best_thr,cl_best_thr
30,0.39780404514868495,0.3815923207087385,0.4737721104389682,0.45975760121757436,0.6900312149054112,0.6603823071800773,0.561808920519735,0.5421033268423742,0.398521101358663,0.38370859365790405,0.47154645041968984,0.45616985495059914,0.7201520912547529,0.7072243346007605,0.5699178953703306,0.5546089623445221,0.6914385803059534,0.6606201311008805,0.4393986360818351,0.421419714817111,0.5373313943297227,0.5145805827784192,0.8849528431712429,0.8707126212146434,0.9012509966814096,0.8900329471750015,0.5144169992190757,0.4939415519417427,0.5780571613098333,0.5514109747169824,0.5699178953703306,0.5546089623445221,per-label,per-label
31,0.39686756120677513,0.38490246729023575,0.4795829789882915,0.4687960053697844,0.67584997154381,0.656355168745299,0.5610470820532951,0.5469428256227103,0.4020226785167024,0.3811558087100985,0.47984490452849515,0.4564769416613373,0.7125475285171102,0.6978815860945139,0.5734895514558013,0.5519374516711057,0.6877095185018759,0.6684128784910168,0.43730626162430253,0.42707687538747674,0.534640818257277,0.521161759120122,0.8855522811672778,0.8704213112479011,0.9017982419176669,0.8910273397574833,0.5171153255267965,0.49049649020156044,0.5771817121565148,0.5562297118174143,0.5734895514558013,0.5519374516711057,per-label,per-label
32,0.4004257785039861,0.3877292421954802,0.48121251946627674,0.4737199047150954,0.6840674096771033,0.6600330022243602,0.5649832172729116,0.5515677516833735,0.4077747658945293,0.3887712505293726,0.4850505642679173,0.46734545454545456,0.7190657251493754,0.6980988593155893,0.5793181917640365,0.5598780222173818,0.6901597984787923,0.6650401003871932,0.4393986360818351,0.42343459392436456,0.5369448181723417,0.5174231175470326,0.8859900917475226,0.8712114761932495,0.9024643046928102,0.8901657333642159,0.5193670084742137,0.4912629163220035,0.5833739942849292,0.552691672895764,0.5793181917640365,0.5598780222173818,per-label,per-label
33,0.40405824003995255,0.38638703436100696,0.4839593019745727,0.47570653184998735,0.6948393464928888,0.6489016017985196,0.5705367333943782,0.5489676292879355,0.4014502307185234,0.38367495894410314,0.4723926380368098,0.4657412876550502,0.7277566539923954,0.6852797392721347,0.5729068673565382,0.5545738274209855,0.6965729287241901,0.6652478306626636,0.4417234965902046,0.4237445753254805,0.5406195132715885,0.517717401774823,0.8872750589703952,0.871590515295826,0.9034309363599224,0.8908994011225327,0.5194615330374988,0.49319138358557296,0.5839616972087478,0.5542065034216032,0.5729068673565382,0.5545738274209855,per-label,per-label
34,0.40471205085739337,0.3889409076429977,0.48477003734872876,0.4639385519082318,0.6893171320924987,0.674411306744446,0.5692256939127153,0.5497174751036203,0.40859822189745465,0.3887352127596963,0.4817979464349824,0.4589674101869224,0.7289516567083107,0.7175448126018468,0.5801487117413108,0.5598406509577893,0.6975871234225137,0.669768944440273,0.44342839429634223,0.4286267823930564,0.5422011063258263,0.5227276483128372,0.8878516014461023,0.8717248407238539,0.9047086751796136,0.8918385752265572,0.518920315315673,0.4935400935317441,0.5873919153247855,0.5592441800650406,0.5801487117413108,0.5598406509577893,per-label,per-label
35,0.40446886045049446,0.3876417112424943,0.4807345609282843,0.4766141325943808,0.6920461493559564,0.650677451463984,0.5673532977398872,0.5502073705043693,0.4087347385045253,0.38704438830747023,0.4810895831843855,0.46441974595842955,0.731015752308528,0.6990765888104291,0.5802863056226285,0.5580850787043059,0.6996593806532261,0.6671004922185587,0.44327340359578427,0.42668939863608185,0.5427097713776032,0.5204741975301341,0.8883550346197602,0.8728347539427103,0.904580306985667,0.892352933730185,0.5201947426724045,0.496555215501242,0.5857175349382994,0.5590501068479908,0.5802863056226285,0.5580850787043059,per-label,per-label
36,0.40598642051737527,0.3891918870521308,0.4856574708824058,0.4693895378426853,0.687673251109397,0.6696891799921096,0.5692745372938501,0.5519286591400154,0.4122315880145204,0.3895224518888097,0.48734361361652606,0.4621890196631193,0.7278652906029331,0.7124388919065725,0.5838016816973816,0.5606565786098999,0.6968575084681353,0.6717408299928133,0.44156850588964663,0.4282393056416615,0.5405890676274546,0.5230382209426873,0.8883806896634762,0.8738981963417137,0.9035617511394434,0.8925016006774716,0.5209815025576424,0.49789819336473756,0.5841646442746204,0.5542996250721963,0.5838016816973816,0.5606565786098999,per-label,per-label
37,0.40794007281199823,0.38980987803869616,0.48819648664314136,0.4750937865665775,0.6831617416952569,0.6514357926869582,0.5694537401726136,0.5494628869980035,0.41872415089610227,0.39514497639919083,0.49735764793449944,0.4755791648221927,0.7259098316132536,0.7002715915263443,0.5902826855123675,0.5664572257129048,0.6997514974439594,0.6714360430446736,0.4452107873527588,0.4278518288902666,0.5441872090723212,0.5226567968840637,0.8890010388570747,0.8744076127439508,0.904421481158193,0.8936059687260522,0.5227508817303037,0.49822969480728724,0.5872089778759503,0.5588897081813843,0.5902826855123675,0.5664572257129048,per-label,per-label
38,0.41040662658927657,0.3904386775870599,0.4901944000814543,0.47782619679677213,0.6912749185052394,0.648714036802734,0.5736231802843338,0.5503089046783736,0.4155545900316554,0.3963036467377822,0.49224321741048455,0.480126230370426,0.7273221075502444,0.6941879413362303,0.5871261948610015,0.5676467975481923,0.7006368899548396,0.6732270495025319,0.44389336639801613,0.4310291382517049,0.5434684945695435,0.5255673062334639,0.8898627110179563,0.874113280418671,0.9048586695782403,0.8942020582414335,0.5255076840604782,0.49709344260592464,0.5890168159431459,0.5598946678573703,0.5871261948610015,0.5676467975481923,per-label,per-label
39,0.40940676955659305,0.3895480486759191,0.4931295513824177,0.4681147663708988,0.6862290997875412,0.6767219508753338,0.5738709726478672,0.5534126101302037,0.4137717121588089,0.38475456720947876,0.4909827015090173,0.4539944903581267,0.7246061922868007,0.7161325366648561,0.5853444493198772,0.5557007376185458,0.699083024629235,0.6702045645968284,0.44435833849969003,0.42947923124612525,0.5433481441453839,0.5234940121310951,0.8902404211152083,0.8749708164944647,0.9054379553539188,0.893764087491816,0.5267506072772791,0.4992599570435791,0.5889579558284419,0.559364396596213,0.5853444493198772,0.5557007376185458,per-label,per-label
40,0.4082861569474726,0.3914477522632651,0.4899410940279179,0.4688297155635274,0.6862505090539051,0.6767545519065146,0.5717135274595158,0.5539228376055729,0.4151685393258427,0.38640788154091205,0.49391058963315015,0.45817011751538894,0.7225420966865834,0.7115697990222705,0.5867407701468837,0.557423088379218,0.7018359868091826,0.669472845568457,0.4452107873527588,0.42715437073775575,0.5448164090921412,0.5215414095558206,0.8903750742823887,0.8754606137296819,0.9058758751646817,0.8946934402805986,0.5268570136551534,0.5003957789005086,0.5909434485748536,0.5606793212073229,0.5867407701468837,0.557423088379218,per-label,per-label
41,0.41136621193678735,0.3909879315472349,0.4901615407606522,0.4695868858723675,0.6960554834429318,0.667506255468243,0.5752398106886945,0.5513219144671003,0.41561572700296734,0.3973461561872299,0.49094493938951367,0.47469458987783597,0.7303639326453014,0.70917979359044,0.5871872134154329,0.5687154244892625,0.7032092655983968,0.6765061172472463,0.4470706757594544,0.43087414755114695,0.5466221399988409,0.5264478803676553,0.8917739553093683,0.8752559475682837,0.9064858360143706,0.8941250721459539,0.5291849261172901,0.4994390817575097,0.5913864669896427,0.5597628165032126,0.5871872134154329,0.5687154244892625,per-label,per-label
42,0.41146580633197877,0.39343114013899816,0.49093622919782814,0.4747944670367459,0.6913524876889574,0.6676252893377875,0.574157527691362,0.5549357697337773,0.417211939926466,0.39406036412024437,0.49457043658122185,0.47063497796720366,0.7273221075502444,0.7077675176534493,0.5887784715504353,0.5653418951752863,0.7051534379839233,0.6763435634218976,0.44838809671419716,0.43265654060756353,0.5481942321770467,0.527726670807484,0.8911234871740246,0.8761654517833364,0.9075624340242048,0.8959472788939151,0.5294702504368052,0.5003765224839496,0.5939557924227048,0.5653786646806239,0.5887784715504353,0.5653418951752863,per-label,per-label
43,0.41418435858927266,0.39480425782069406,0.4965808339885783,0.47801173894274634,0.6892250167717102,0.6631532533985579,0.5772545875277099,0.5555639052547735,0.4213784825320614,0.3978929315202744,0.5017301038062284,0.47705074539178965,0.7246061922868007,0.7057034220532319,0.5929152406773635,0.5692752607133468,0.7045875783641594,0.6787958228797367,0.44784562926224425,0.4338189708617483,0.5476177973954249,0.5293377491713666,0.8923921362679517,0.8771970702749516,0.9076768381295115,0.8963213624364494,0.5330730302790767,0.5047812310011018,0.5963469373764938,0.5652503937861153,0.5929152406773635,0.5692752607133468,per-label,per-label
