split,clients,method_name,method,base_algo,mu,server_distill,local_epochs,rounds,kd_alpha,kd_temperature,server_distill_steps,server_distill_lr,f1_macro,f1_micro,pr_auc_macro,pr_auc_micro,auc_macro,auc_micro,best_f1_micro,best_thr,time_sec,size_alpha,labels_per_client,bias_strength
iid,5,Opt3_FedProx_mu0.01_SD,option3,FedProx,0.01,True,1,10,0.5,2.0,10,0.002,0.36266232500238127,0.35618283050627997,0.2915917354047486,0.33090176817534483,0.7288987183789223,0.7587584864363099,0.35618283050627997,per-label,138.61037969589233,,,
iid,8,Opt3_FedProx_mu0.01_SD,option3,FedProx,0.01,True,1,10,0.5,2.0,10,0.002,0.3544517394347405,0.3460355029585799,0.28103723052452245,0.31696780421875,0.7198234180117499,0.7431802941762611,0.3460355029585799,per-label,174.72201323509216,,,
iid,10,Opt3_FedProx_mu0.01_SD,option3,FedProx,0.01,True,1,10,0.5,2.0,10,0.002,0.34637322435270446,0.34687778535101976,0.2667483347587647,0.30141448808436194,0.7160310408519854,0.7371984038310451,0.34687778535101976,per-label,199.32112550735474,,,
noniid,2,Baseline_FedAvg,baseline,FedAvg,0.0,False,1,10,0.5,2.0,10,0.002,0.49049803243892776,0.4717558338076267,0.4327041301933988,0.4971216451807789,0.820369746552666,0.8475864329415361,0.4717558338076267,per-label,37.29828953742981,0.5,10.0,0.85
noniid,3,Baseline_FedAvg,baseline,FedAvg,0.0,False,1,10,0.5,2.0,10,0.002,0.4890655144769907,0.4701403088204188,0.4368903250858178,0.49230309459812915,0.8191858457783332,0.8472427035269375,0.4701403088204188,per-label,37.452985525131226,0.5,10.0,0.85
noniid,5,Baseline_FedAvg,baseline,FedAvg,0.0,False,1,10,0.5,2.0,10,0.002,0.4483271994770302,0.42326175558123974,0.38514395891037223,0.43752046606854383,0.7878743620949367,0.8117633856050052,0.42326175558123974,per-label,37.822330951690674,0.5,10.0,0.85
noniid,8,Baseline_FedAvg,baseline,FedAvg,0.0,False,1,10,0.5,2.0,10,0.002,0.4301079230870856,0.4046084865041423,0.36723106563436003,0.42378991589626525,0.7760327951952992,0.8011508627355408,0.4046084865041423,per-label,37.832860231399536,0.5,10.0,0.85
noniid,10,Baseline_FedAvg,baseline,FedAvg,0.0,False,1,10,0.5,2.0,10,0.002,0.37333010356461105,0.3554726947875398,0.3042519311040477,0.33012483334744186,0.7390605648018331,0.7528573793756506,0.3554726947875398,per-label,37.690211057662964,0.5,10.0,0.85
noniid,2,Baseline_FedProx_mu0.01,baseline,FedProx,0.01,False,1,10,0.5,2.0,10,0.002,0.4618368559611201,0.4218663381583,0.3971881324890838,0.44953490134277224,0.7923301255750108,0.8201191463054256,0.4218663381583,per-label,40.87769961357117,0.5,10.0,0.85
noniid,3,Baseline_FedProx_mu0.01,baseline,FedProx,0.01,False,1,10,0.5,2.0,10,0.002,0.45394742128625065,0.41118229470005824,0.39369540613942033,0.44111976287906696,0.7887189139680182,0.8163749501785007,0.41118229470005824,per-label,40.61537742614746,0.5,10.0,0.85
